Player,From,To,PlayerId
Quincy Acy,2019,2019,acyqu01
Alvan Adams,1976,1988,adamsal01
Rafael Addison,1987,1987,addisra01
Danny Ainge,1993,1995,aingeda01
Ty-Shon Alexander,2021,2021,alexaty01
Lou Amundson,2009,2010,amundlo01
Ryan Anderson,2019,2019,anderry01
Robert Archibald,2004,2004,archiro01
Trevor Ariza,2019,2019,arizatr01
Dennis Awtrey,1975,1978,awtrede01
Deandre Ayton,2019,2023,aytonde01
James Bailey,1988,1988,baileja01
Toby Bailey,1999,2000,baileto01
Marcus Banks,2007,2008,banksma01
Mike Bantom,1974,1976,bantomi01
Leandro Barbosa,2004,2017,barbole01
Charles Barkley,1993,1996,barklch01
Matt Barnes,2009,2009,barnema02
Andre Barrett,2006,2006,barrean01
Earl Barron,2011,2015,barroea01
Paris Bass,2022,2022,basspa01
Kenny Battle,1990,1991,battlke01
Aron Baynes,2020,2020,baynear01
Darius Bazley,2023,2023,bazleda01
Michael Beasley,2013,2013,beaslmi01
William Bedford,1987,1987,bedfowi01
Charlie Bell,2002,2002,bellch01
Raja Bell,2006,2009,bellra01
Dragan Bender,2017,2019,bendedr01
Mario Bennett,1996,1996,bennema01
Ed Biedenbach,1969,1969,biedeed01
Bismack Biyombo,2022,2023,biyombi01
Eric Bledsoe,2014,2018,bledser01
Corie Blount,2000,2001,blounco01
Jonah Bolden,2020,2020,boldejo01
Dexter Boney,1997,1997,boneyde01
Devin Booker,2016,2023,bookede01
Dudley Bradley,1982,1982,bradldu01
Mike Bratz,1978,1980,bratzmi01
Mikal Bridges,2019,2023,bridgmi01
Aaron Brooks,2011,2011,brookaa01
Chucky Brown,1997,1997,brownch01
Dee Brown,2009,2009,brownde03
Gerald Brown,1999,1999,brownge02
Lorenzo Brown,2016,2016,brownlo01
Mike Brown,1997,1997,brownmi01
Randy Brown,2003,2003,brownra02
Shannon Brown,2012,2013,brownsh01
Mark Bryant,1997,1998,bryanma01
Chase Budinger,2016,2016,budinch01
Jud Buechler,2002,2002,buechju01
Reggie Bullock,2015,2015,bullore01
Pat Burke,2006,2007,burkepa01
Steve Burtt,1992,1992,burttst01
Don Buse,1978,1980,busedo01
Marty Byrnes,1979,1979,byrnema01
Žarko Čabarkapa,2004,2005,cabarza01
Corky Calhoun,1973,1975,calhoco01
Isaiah Canaan,2018,2019,canaais01
Chris Carr,1996,1996,carrch01
Joe Barry Carroll,1991,1991,carrojo01
Jevon Carter,2020,2021,carteje01
Vince Carter,2011,2011,cartevi01
Sam Cassell,1997,1997,cassesa01
Cedric Ceballos,1991,1998,cebalce01
Bill Chamberlain,1974,1974,chambbi01
Jerry Chambers,1970,1970,chambje01
Tom Chambers,1989,1993,chambto01
Tyson Chandler,2016,2019,chandty01
Rex Chapman,1997,2000,chapmre01
Josh Childress,2011,2012,childjo01
Marquese Chriss,2017,2018,chrisma01
Bob Christian,1974,1974,chrisbo01
Dionte Christmas,2014,2014,chrisdi01
Earl Clark,2010,2011,clarkea01
John Coker,1996,1996,cokerjo01
Jarron Collins,2010,2010,collija03
Jeff Cook,1980,1988,cookje01
Duane Cooper,1994,1994,coopedu01
Tyrone Corbin,1988,1989,corbity01
Bryce Cotton,2016,2016,cottobr01
Mel Counts,1971,1972,countme01
Joe Courtney,1994,1994,courtjo01
Torrey Craig,2021,2023,craigto01
Jamal Crawford,2019,2019,crawfja01
Joe Crispin,2002,2002,crispjo01
Winston Crite,1988,1989,critewi01
Jae Crowder,2021,2022,crowdja01
Seth Curry,2015,2015,curryse01
Troy Daniels,2018,2019,danietr01
Ben Davis,1997,2000,davisbe01
