Player,From,To,PlayerId
Shareef Abdur-Rahim,2002,2004,abdursh01
Don Adams,1972,1973,adamsdo01
Jaylen Adams,2019,2019,adamsja01
Derrick Alston,1997,1997,alstode01
Greg Anderson,1995,1998,andergr01
Justin Anderson,2019,2019,anderju01
Kenny Anderson,2005,2005,anderke01
Pero Antić,2014,2015,anticpe01
Stacey Arceneaux,1962,1962,arcenst01
Hilton Armstrong,2011,2011,armsthi01
Stacey Augmon,1992,1996,augmost01
Gustavo Ayón,2014,2014,ayongu01
Luke Babbitt,2018,2018,babbilu01
John Bagley,1994,1994,baglejo01
Cat Barber,2022,2022,barbeca01
John Barber,1957,1957,barbejo01
Tom Barker,1977,1977,barketo01
John Barnhill,1963,1966,barnhjo01
Drew Barry,1998,2000,barrydr01
Jon Barry,1997,2005,barryjo01
Esteban Batista,2006,2007,batises01
John Battle,1986,1991,battljo01
Sergei Bazarevich,1995,1995,bazarse01
Kent Bazemore,2015,2019,bazemke01
Ed Beach,1951,1951,beached01
Butch Beard,1970,1970,beardbu01
Zelmo Beaty,1963,1969,beatyze01
Ernie Beck,1961,1961,becker01
Ron Behagen,1978,1978,behagro01
Elmer Behnke,1952,1952,behnkel01
Marco Belinelli,2018,2018,belinma01
Walt Bellamy,1970,1974,bellawa01
DeAndre' Bembry,2017,2020,bembrde01
Irv Bemoras,1954,1957,bemorir01
Corey Benjamin,2003,2003,benjaco01
Gene Berce,1950,1950,bercege01
Saddiq Bey,2023,2023,beysa01
Mike Bibby,2008,2011,bibbymi01
Charlie Black,1952,1952,blackch01
Mookie Blaylock,1993,1999,blaylmo01
Bogdan Bogdanović,2021,2023,bogdabo01
Don Boven,1952,1953,bovendo01
Cal Bowdler,2000,2002,bowdlca01
Ira Bowman,2001,2001,bowmair01
Donnie Boyce,1996,1997,boycedo01
Harry Boykoff,1951,1951,boykoha01
Cedric Bozeman,2007,2007,bozemce01
Steve Bracey,1973,1974,bracest01
Dudley Bradley,1989,1989,bradldu01
Michael Bradley,2004,2004,bradlmi01
Elton Brand,2014,2015,brandel01
Jim Brasco,1953,1953,brascji01
Randy Breuer,1993,1993,breuera01
Frankie Brian,1951,1951,brianfr01
Bill Bridges,1963,1972,bridgbi01
Charlie Brown Jr.,2020,2020,brownch02
Chaundee Brown Jr.,2022,2022,brownch05
Chucky Brown,1998,1998,brownch01
John Brown,1974,1980,brownjo01
Rickey Brown,1983,1985,brownri01
Nicolás Brussino,2018,2018,brussni01
Matt Bullard,1996,1996,bullama01
Tom Burleson,1981,1981,burleto01
Art Burris,1952,1952,burriar01
Ed Burton,1965,1965,burtoed01
Willie Burton,1997,1997,burtowi01
Tommy Byrnes,1951,1951,byrneto01
Barney Cable,1962,1963,cableba01
José Calderón,2017,2017,caldejo01
Joe Caldwell,1966,1970,caldwjo01
Bill Calhoun,1953,1955,calhobi01
Clint Capela,2021,2023,capelca01
Bob Carpenter,1951,1951,carpebo01
Antoine Carr,1985,1990,carran01
DeMarre Carroll,2014,2015,carrode01
Vince Carter,2019,2020,cartevi01
Tyler Cavanaugh,2018,2018,cavanty01
Jerry Chambers,1971,1971,chambje01
John Chaney,1950,1950,chanejo01
Len Chappell,1971,1971,chapple01
Ken Charles,1977,1978,charlke01
Lorenzo Charles,1986,1986,charllo01
Maurice Cheeks,1992,1992,cheekma01
Josh Childress,2005,2008,childjo01
Cal Christensen,1951,1952,chrisca01
Bob Christian,1971,1973,chrisbo01
Speedy Claxton,2007,2009,claxtsp01
Antonius Cleveland,2018,2018,clevean01
Jack Coleman,1956,1958,colemja01
Bimbo Coles,2000,2000,colesbi01
Jason Collier,2004,2005,collija02
Art Collins,1981,1981,colliar01
Don Collins,1981,1981,collido02
Jason Collins,2010,2012,collija04
John Collins,2018,2023,collijo01
Sean Colson,2001,2001,colsose01
Chuck Cooper,1955,1956,coopech01
Sharife Cooper,2022,2022,coopesh01
Tyrone Corbin,1995,1999,corbity01
Ray Corley,1951,1951,corlera01
Allen Crabbe,2020,2020,crabbal01
Chris Crawford,1998,2004,crawfch01
Jamal Crawford,2010,2011,crawfja01
Jordan Crawford,2011,2011,crawfjo02
Jim Creighton,1976,1976,creigji01
Charlie Criss,1978,1985,crissch01
Dillard Crocker,1952,1953,crockdi01
Jarrett Culver,2023,2023,culveja01
Jared Cunningham,2014,2014,cunnija01
Erick Dampier,2012,2012,dampier01
Pete Darcey,1953,1953,darcepe01
Jimmy Darrow,1962,1962,darroji01
Deyonta Davis,2019,2019,davisde01
Emanual Davis,2002,2003,davisem01
Jim Davis,1968,1972,davisji01
Johnny Davis,1983,1986,davisjo01
Josh Davis,2004,2004,davisjo02
Ron Davis,1977,1977,davisro01
Walt Davis,1958,1958,daviswa01
Austin Daye,2015,2015,dayeau01
Dewayne Dedmon,2018,2020,dedmode01
Archie Dees,1962,1962,deesar01
Malcolm Delaney,2017,2018,delanma01
Tony Delk,2005,2006,delkto01
Nate DeLong,1952,1952,delonna01
Randy Denton,1977,1977,dentora01
Hank DeZonie,1951,1951,dezonha01
Boris Diaw,2004,2005,diawbo01
Dan Dickau,2003,2004,dickada01
Henry Dickerson,1977,1977,dickehe01
Gorgui Dieng,2022,2022,dienggo01
Fred Diute,1955,1955,diutefr01
Tyler Dorsey,2018,2019,dorsety01
John Drew,1975,1982,drewjo01
Predrag Drobnjak,2005,2005,drobnpr01
Bob Duffy,1963,1964,duffybo02
Mike Dunleavy,2017,2017,dunlemi02
Kris Dunn,2021,2021,dunnkr01
Dennis DuVal,1976,1976,duvalde01
Gene Dyker,1954,1954,dykerge01
Jerry Eaves,1985,1985,eavesje01
Dike Eddleman,1950,1952,eddledi01
Keith Edmonson,1983,1983,edmonke01
Doug Edwards,1994,1995,edwardo01
John Edwards,2006,2006,edwarjo01
Craig Ehlo,1994,1996,ehlocr01
Rich Eichhorst,1962,1962,eichhdi01
Obinna Ekezie,2005,2005,ekeziob01
LaPhonso Ellis,1999,2000,ellisla01
Gene Englund,1950,1950,engluge01
Jeremy Evans,2018,2018,evansje01
Maurice Evans,2009,2011,evansma01
Mike Farmer,1963,1966,farmemi01
George Feigenbaum,1953,1953,feigege01
Bruno Fernando,2020,2023,fernabr01
Al Ferrari,1956,1962,ferraal01
Duane Ferrell,1989,1994,ferredu01
Bob Ferry,1960,1960,ferrybo01
Trent Forrest,2023,2023,forretr01
Greg Foster,1993,1993,fostegr01
Larry Foust,1960,1962,foustla01
Jerry Fowler,1952,1952,fowleje01
Matt Freije,2007,2007,freijma01
Hiram Fuller,2004,2004,fullehi01
Terry Furlow,1979,1980,furlote01
Danilo Gallinari,2021,2022,gallida01
Dave Gambee,1959,1960,gambeda01
Thomas Gardner,2009,2009,gardnth01
Ed Gayda,1951,1951,gaydaed01
Dee Gibson,1950,1950,gibsode01
Herm Gilliam,1972,1975,gillihe01
Jack Givens,1979,1980,givenja01
Mike Glenn,1982,1985,glennmi01
Dion Glover,2000,2004,glovedi01
Brandon Goodwin,2020,2021,goodwbr01
Joe Graboski,1962,1962,grabojo01
Ricky Grace,1994,1994,graceri01
Paul Graham,1992,1994,grahapa01
Treveon Graham,2020,2020,grahatr01
Ron Grandison,1996,1996,grandro01
Stewart Granger,1985,1985,grangst01
Ed Gray,1998,1999,grayed01
Si Green,1959,1962,greensi01
Willie Green,2012,2012,greenwi01
Gary Gregor,1970,1970,gregoga01
AJ Griffin,2023,2023,griffaj01
Anthony Grundy,2006,2006,grundan01
Richie Guerin,1964,1970,gueriri01
Tom Gugliotta,2005,2005,guglito01
Cliff Hagan,1957,1966,hagancl01
Shaler Halimon,1972,1972,halimsh01
Jeff Halliburton,1972,1973,hallije01
Darvin Ham,2003,2003,hamda01
Daniel Hamilton,2019,2019,hamilda02
Dennis Hamilton,1969,1969,hamilde01
Darrin Hancock,1997,1997,hancoda01
Alex Hannum,1955,1957,hannual01
Travis Hansen,2004,2004,hansetr01
Tim Hardaway Jr.,2016,2017,hardati02
John Hargis,1951,1951,hargijo01
Skip Harlicka,1969,1969,harlisk01
Al Harrington,2005,2006,harrial01
Chris Harris,1956,1956,harrich01
Devin Harris,2013,2013,harride01
Bob Harrison,1954,1957,harribo02
Antonio Harvey,2003,2003,harvean01
Billy Hassett,1950,1950,hassebi01
Scott Hastings,1983,1988,hastisc01
Vern Hatton,1962,1962,hattove01
Steve Hawes,1977,1983,hawesst01
Connie Hawkins,1976,1976,hawkico01
Walt Hazzard,1969,1971,abdulma01
Alan Henderson,1996,2004,hendeal01
Cedric Henderson,1987,1987,hendece01
Tom Henderson,1975,1977,hendeto01
Bill Henry,1950,1950,henrybi01
Steve Henson,1993,1993,hensost01
Kleggie Hermsen,1951,1951,hermskl01
Keith Herron,1979,1979,herroke01
Armond Hill,1977,1984,hillar01
Cleo Hill,1962,1962,hillcl01
Malcolm Hill,2022,2022,hillma01
Solomon Hill,2021,2022,hillso01
Kirk Hinrich,2011,2016,hinriki01
Lew Hitch,1954,1955,hitchle01
Aaron Holiday,2023,2023,holidaa01
Justin Holiday,2016,2023,holidju01
Wilbur Holland,1976,1976,hollawi01
Red Holzman,1954,1954,holzmre01
Tom Hoover,1967,1967,hooveto01
Al Horford,2008,2016,horfoal01
Ron Horn,1962,1962,hornro01
Bob Houbregs,1954,1954,houbrbo01
Tom Hovasse,1995,1995,hovasto01
Dwight Howard,2017,2017,howardw01
Lou Hudson,1967,1977,hudsolo01
Kevin Huerter,2019,2022,huertke01
Isaac Humphries,2019,2019,humphis01
Kris Humphries,2016,2017,humphkr01
De'Andre Hunter,2020,2023,huntede01
Othello Hunter,2009,2010,hunteot01
Mel Hutchins,1952,1953,hutchme01
Ersan İlyasova,2017,2018,ilyaser01
Tom Ingelsby,1974,1974,ingelto01
Royal Ivey,2005,2007,iveyro01
Wes Iwundu,2022,2022,iwundwe01
Jermaine Jackson,2003,2003,jacksje01
Jim Jackson,2000,2001,jacksji01
Stephen Jackson,2004,2004,jacksst02
Henry James,1997,1997,jameshe01
John Jenkins,2013,2015,jenkijo01
Anthony Johnson,1999,2008,johnsan02
B.J. Johnson,2019,2019,johnsbj01
DerMarr Johnson,2001,2002,johnsde03
Eddie Johnson,1978,1986,johnsed02
George Johnson,1983,1983,johnsge02
Ivan Johnson,2012,2013,johnsiv01
Jalen Johnson,2022,2023,johnsja05
Joe Johnson,2006,2012,johnsjo02
Ollie Johnson,1978,1978,johnsol01
Dahntay Jones,2013,2013,jonesda02
Damian Jones,2020,2020,jonesda03
Dwight Jones,1974,1976,jonesdw01
Solomon Jones,2007,2009,jonesso01
Reggie Jordan,1996,1996,jordare01
Phil Jordon,1963,1963,jordoph01
Noble Jorgensen,1951,1951,jorgeno01
Frank Kaminsky,2023,2023,kaminfr01
Bob Kauffman,1975,1975,kauffbo01
Adam Keefe,1993,1994,keefead01
Ryan Kelly,2017,2017,kellyry01
Tim Kempton,1996,1996,kemptti01
Jack Kerris,1950,1950,kerrija01
Walt Kirk,1950,1952,kirkwa01
Brevin Knight,2001,2001,knighbr01
Nathan Knight,2021,2021,knighna01
Kevin Knox,2022,2022,knoxke01
Jon Koncak,1986,1995,koncajo01
Kyle Korver,2013,2017,korveky01
Vit Krejci,2023,2023,krejcvi01
Tommy Kron,1967,1967,kronto01
Toni Kukoč,2001,2002,kukocto01
Fred LaCour,1961,1962,lacoufr01
Christian Laettner,1996,1998,laettch01
Mark Landsberger,1984,1984,landsma01
Andrew Lang,1994,1996,langan01
Priest Lauderdale,1997,1997,laudepr01
Bob Lavoy,1954,1954,lavoybo01
Acie Law,2008,2009,lawac01
Butch Lee,1979,1979,leebu01
Clyde Lee,1975,1975,leecl01
Damion Lee,2018,2018,leeda03
Ron Lee,1980,1980,leero01
George Lehmann,1968,1969,lehmage01
Alex Len,2019,2020,lenal01
Gary Leonard,1991,1992,leonaga01
Jim Les,1995,1995,lesji01
