Player,From,To,PlayerId
Mark Acres,1993,1993,acresma01
Michael Adams,1987,1994,adamsmi01
Mark Alarie,1988,1991,alarima01
Courtney Alexander,2001,2002,alexaco02
Morris Almond,2012,2012,almonmo01
Ashraf Amaya,1997,1997,amayaas01
Alan Anderson,2016,2016,anderal01
Ron Anderson,1994,1994,anderro01
Gilbert Arenas,2004,2011,arenagi01
Trevor Ariza,2013,2019,arizatr01
Hilton Armstrong,2011,2011,armsthi01
Chucky Atkins,2006,2006,atkinch01
Isaac Austin,2000,2000,austiis01
Johnny Austin,1967,1967,austijo01
Deni Avdija,2021,2023,avdijde01
Joel Ayayi,2022,2022,ayayijo01
Gus Bailey,1980,1980,bailegu01
Ron Baker,2019,2019,bakerro01
Greg Ballard,1978,1985,ballagr01
Jim Barnes,1966,1971,barneji01
John Barnhill,1967,1969,barnhjo01
Earl Barron,2013,2013,barroea01
Will Barton,2023,2023,bartowi01
Billy Ray Bates,1983,1983,batesbi01
Dave Batton,1983,1983,battoda01
Lonny Baxter,2004,2004,baxtelo01
Bradley Beal,2013,2023,bealbr01
Ron Behagen,1980,1980,behagro01
Jordan Bell,2021,2021,belljo01
Walt Bellamy,1962,1966,bellawa01
Dāvis Bertāns,2020,2022,bertada01
Mike Bibby,2011,2011,bibbymi01
Dave Bing,1976,1977,bingda01
DeJuan Blair,2015,2016,blairde01
Steve Blake,2004,2005,blakest01
Andray Blatche,2006,2012,blatcan01
Bojan Bogdanović,2017,2017,bogdabo02
Muggsy Bogues,1988,1988,boguemu01
Etdrick Bohannon,1999,1999,bohanet01
Manute Bol,1986,1994,bolma01
George Bon Salle,1962,1962,bonsage01
Isaac Bonga,2020,2021,bongais01
Trevor Booker,2011,2014,booketr01
Calvin Booth,2000,2007,boothca01
Lawrence Boston,1980,1980,bostola01
Jamaree Bouyea,2023,2023,bouyeja01
Earl Boykins,2010,2010,boykiea01
Gary Bradds,1965,1966,braddga01
Dudley Bradley,1985,1986,bradldu01
Torraye Braggs,2004,2004,braggto01
Dave Britton,1981,1981,brittda01
Damone Brown,2005,2005,brownda02
Dee Brown,2009,2009,brownde03
Kwame Brown,2002,2005,brownkw01
Lewis Brown,1981,1981,brownle02
Troy Brown Jr.,2019,2021,browntr01
Thomas Bryant,2019,2022,bryanth01
Trey Burke,2017,2017,burketr01
Steve Burtt,1993,1993,burttst01
Al Butler,1965,1965,butleal01
Caron Butler,2006,2010,butleca01
Mitchell Butler,1994,2004,butlemi02
Rasual Butler,2015,2015,butlera01
Will Bynum,2015,2015,bynumwi01
Barney Cable,1962,1964,cableba01
